region,sex,age_group,year,residents
Central Region,Male,0 - 4 Years,2025,18420.0
Central Region,Male,0 - 4 Years,2024,18580.0
Central Region,Male,0 - 4 Years,2023,18530.0
Central Region,Male,0 - 4 Years,2022,18180.0
Central Region,Male,0 - 4 Years,2021,17820.0
Central Region,Male,0 - 4 Years,2020,18090.0
Central Region,Male,0 - 4 Years,2019,18410.0
Central Region,Male,5 - 9 Years,2025,22330.0
Central Region,Male,5 - 9 Years,2024,22360.0
Central Region,Male,5 - 9 Years,2023,22170.0
Central Region,Male,5 - 9 Years,2022,22090.0
Central Region,Male,5 - 9 Years,2021,21760.0
Central Region,Male,5 - 9 Years,2020,21770.0
Central Region,Male,5 - 9 Years,2019,21710.0
Central Region,Male,10 - 14 Years,2025,22770.0
Central Region,Male,10 - 14 Years,2024,22400.0
Central Region,Male,10 - 14 Years,2023,22260.0
Central Region,Male,10 - 14 Years,2022,21570.0
Central Region,Male,10 - 14 Years,2021,21290.0
Central Region,Male,10 - 14 Years,2020,21830.0
Central Region,Male,10 - 14 Years,2019,21860.0
Central Region,Male,15 - 19 Years,2025,22070.0
Central Region,Male,15 - 19 Years,2024,21850.0
Central Region,Male,15 - 19 Years,2023,21530.0
Central Region,Male,15 - 19 Years,2022,21010.0
Central Region,Male,15 - 19 Years,2021,20520.0
Central Region,Male,15 - 19 Years,2020,21260.0
Central Region,Male,15 - 19 Years,2019,21730.0
Central Region,Male,20 - 24 Years,2025,21430.0
Central Region,Male,20 - 24 Years,2024,21550.0
Central Region,Male,20 - 24 Years,2023,21590.0
Central Region,Male,20 - 24 Years,2022,21910.0
Central Region,Male,20 - 24 Years,2021,22230.0
Central Region,Male,20 - 24 Years,2020,22690.0
Central Region,Male,20 - 24 Years,2019,23280.0
Central Region,Male,25 - 29 Years,2025,25410.0
Central Region,Male,25 - 29 Years,2024,25730.0
Central Region,Male,25 - 29 Years,2023,26740.0
Central Region,Male,25 - 29 Years,2022,27240.0
Central Region,Male,25 - 29 Years,2021,26930.0
Central Region,Male,25 - 29 Years,2020,28120.0
Central Region,Male,25 - 29 Years,2019,28460.0
Central Region,Male,30 - 34 Years,2025,33500.0
Central Region,Male,30 - 34 Years,2024,33600.0
Central Region,Male,30 - 34 Years,2023,33770.0
Central Region,Male,30 - 34 Years,2022,32490.0
Central Region,Male,30 - 34 Years,2021,29990.0
Central Region,Male,30 - 34 Years,2020,29020.0
Central Region,Male,30 - 34 Years,2019,28190.0
Central Region,Male,35 - 39 Years,2025,34760.0
Central Region,Male,35 - 39 Years,2024,33430.0
Central Region,Male,35 - 39 Years,2023,31160.0
Central Region,Male,35 - 39 Years,2022,29260.0
Central Region,Male,35 - 39 Years,2021,28560.0
Central Region,Male,35 - 39 Years,2020,29380.0
Central Region,Male,35 - 39 Years,2019,29730.0
Central Region,Male,40 - 44 Years,2025,33540.0
Central Region,Male,40 - 44 Years,2024,33190.0
Central Region,Male,40 - 44 Years,2023,33410.0
Central Region,Male,40 - 44 Years,2022,32280.0
Central Region,Male,40 - 44 Years,2021,31590.0
Central Region,Male,40 - 44 Years,2020,32900.0
Central Region,Male,40 - 44 Years,2019,33600.0
Central Region,Male,45 - 49 Years,2025,34390.0
Central Region,Male,45 - 49 Years,2024,34420.0
Central Region,Male,45 - 49 Years,2023,34690.0
Central Region,Male,45 - 49 Years,2022,34940.0
Central Region,Male,45 - 49 Years,2021,34650.0
Central Region,Male,45 - 49 Years,2020,36330.0
Central Region,Male,45 - 49 Years,2019,36590.0
Central Region,Male,50 - 54 Years,2025,36210.0
Central Region,Male,50 - 54 Years,2024,35910.0
Central Region,Male,50 - 54 Years,2023,35240.0
Central Region,Male,50 - 54 Years,2022,33840.0
Central Region,Male,50 - 54 Years,2021,32320.0
Central Region,Male,50 - 54 Years,2020,33360.0
Central Region,Male,50 - 54 Years,2019,33910.0
Central Region,Male,55 - 59 Years,2025,32260.0
Central Region,Male,55 - 59 Years,2024,32430.0
Central Region,Male,55 - 59 Years,2023,33040.0
Central Region,Male,55 - 59 Years,2022,32590.0
Central Region,Male,55 - 59 Years,2021,32260.0
Central Region,Male,55 - 59 Years,2020,33690.0
Central Region,Male,55 - 59 Years,2019,34350.0
Central Region,Male,60 - 64 Years,2025,32270.0
Central Region,Male,60 - 64 Years,2024,32730.0
Central Region,Male,60 - 64 Years,2023,32880.0
Central Region,Male,60 - 64 Years,2022,32550.0
Central Region,Male,60 - 64 Years,2021,32230.0
Central Region,Male,60 - 64 Years,2020,33250.0
Central Region,Male,60 - 64 Years,2019,32870.0
Central Region,Male,65 - 69 Years,2025,31060.0
Central Region,Male,65 - 69 Years,2024,30510.0
Central Region,Male,65 - 69 Years,2023,30210.0
