source,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Estimates,1950,165814,129905,116175,96844,83838,79959,80008,71206,59152,45233,30547,17222,13552,10316,5309,4216,2660,1032,272,49,6
Estimates,1951,182448,134628,121339,103254,88928,81492,80753,73586,62048,48234,33715,19630,13941,10554,5714,3864,2522,1051,280,48,7
Estimates,1952,199657,141354,125134,109945,94562,84068,81298,75762,64900,51152,36788,22416,14643,10798,6284,3556,2376,1058,281,50,8
Estimates,1953,216563,151276,127473,116740,100330,87876,81976,77633,67661,54055,39778,25386,15756,11172,6856,3396,2215,1037,282,53,8
Estimates,1954,232436,164624,129259,123106,105954,92892,83164,79152,70252,57030,42728,28333,17410,11787,7328,3453,2046,982,283,54,6
Estimates,1955,246004,181304,132042,128550,111430,98810,85194,80436,72575,60094,45670,31256,19535,12730,7762,3696,1908,898,276,54,6
Estimates,1956,257388,199575,137424,132510,117124,105081,88391,81655,74588,63186,48583,34225,21926,14046,8270,4043,1839,792,251,51,6
Estimates,1957,267516,215878,146784,134008,122580,110174,92384,82797,76124,66030,51282,37010,24124,15454,8884,4393,1870,705,220,47,6
Estimates,1958,275414,228432,160250,133421,127010,113012,96320,83768,77116,68330,53685,39375,25856,16576,9534,4706,1980,684,206,44,6
Estimates,1959,280518,238530,176315,133000,130742,114726,100146,84808,77896,70130,56070,41524,27492,17534,10201,5036,2116,712,208,44,6
Estimates,1960,283252,247896,192766,134778,134013,116564,103912,86304,78703,71507,58566,43645,29285,18533,10908,5408,2266,755,212,44,6
Estimates,1961,283858,257038,207912,140042,136382,118997,107208,88460,79579,72472,61076,45718,31202,19556,11648,5806,2430,809,216,44,6
Estimates,1962,282464,266062,220928,149763,137321,122293,109794,91341,80572,73148,63492,47765,33202,20646,12402,6227,2609,871,222,46,6
Estimates,1963,279960,274105,231672,164030,136880,126310,111783,94848,81684,73742,65624,49888,35214,21876,13169,6684,2811,942,234,47,6
Estimates,1964,277191,280178,241032,181044,136271,130645,113540,98716,82966,74450,67277,52188,37188,23260,13959,7178,3046,1026,254,48,7
Estimates,1965,274118,284174,250078,198010,137516,134852,115466,102529,84602,75364,68369,54661,39106,24781,14748,7692,3306,1112,279,50,7
Estimates,1966,270341,286212,259151,213059,142514,138283,117948,105839,86786,76497,68969,57226,40958,26440,15512,8214,3575,1202,304,51,8
Estimates,1967,265302,286468,268090,225390,152558,140167,121311,108390,89624,77806,69286,59710,42788,28224,16292,8734,3856,1296,330,52,8
Estimates,1968,258468,285482,276254,235157,167687,140216,125581,110338,93093,79208,69618,61828,44726,30046,17156,9252,4156,1404,360,56,6
Estimates,1969,249621,283769,282947,243726,185637,139411,130519,112143,96958,80711,70232,63320,46920,31810,18172,9774,4479,1541,398,64,6
Estimates,1970,239594,280908,287960,252482,203110,139914,135564,114135,100750,82366,71260,64061,49356,33406,19398,10302,4796,1687,432,74,5
Estimates,1971,230400,275918,291120,261806,217986,144203,139718,116527,103948,84278,72618,64200,51827,34795,20766,10871,5092,1816,458,82,5
Estimates,1972,223852,268500,292080,271322,229379,154508,142071,119495,106304,86757,74034,64174,54063,36180,22127,11548,5416,1949,484,86,6
Estimates,1973,220434,258677,290993,280179,238256,170265,142365,123439,107988,89973,75356,64420,55787,37802,23352,12342,5783,2105,521,92,8
Estimates,1974,219168,246858,288110,287589,246642,188694,140992,128638,109552,93746,76583,65160,56868,39718,24406,13204,6188,2280,573,96,8
Estimates,1975,217854,235245,283321,293208,255656,207420,139596,134270,111619,97582,77818,66352,57360,41890,25387,14052,6650,2484,646,102,8
Estimates,1976,214860,226420,276676,296472,265616,222746,143114,139175,114034,100792,79510,67676,57446,44156,26446,14801,7194,2736,745,112,14
Estimates,1977,209609,221517,268003,296911,275835,232938,155158,142385,116416,103104,82047,68857,57502,46198,27774,15412,7814,3042,872,134,19
Estimates,1978,202606,220021,256814,295200,284990,241094,172283,143484,120064,104692,85396,69979,57878,47704,29430,15897,8456,3396,1026,174,18
Estimates,1979,196001,219684,243764,291502,292436,249568,191398,142054,125924,106188,89375,71010,58738,48606,31272,16352,9024,3798,1208,236,18
Estimates,1980,193238,218100,232624,288505,302661,262895,214158,140871,133477,109248,93978,72406,60260,49132,33374,17078,9542,4224,1399,306,20
Estimates,1981,196424,214841,226580,289328,318730,285716,237783,149142,142346,113980,98830,75311,62318,49661,35736,18264,10204,4642,1573,367,24
Estimates,1982,202354,209662,224770,288395,331162,308958,254902,167630,149250,118026,102574,79357,64266,50372,37857,19665,10989,5046,1734,416,32
Estimates,1983,206960,203138,225228,281116,334276,323609,265750,187072,151534,121934,104684,83557,65871,51249,39484,21046,11744,5398,1852,441,36
Estimates,1984,209814,198412,225614,269735,331312,331576,274634,205489,149556,127157,106459,87790,67234,52380,40636,22446,12510,5732,1946,454,36
Estimates,1985,211238,197040,223516,256978,322293,333280,281566,223101,144672,132180,108410,91426,68456,53708,41264,23857,13304,6122,2089,488,38
Estimates,1986,209936,198121,219114,247484,311418,331336,289063,235997,145653,136793,109664,94012,70348,55044,41673,25324,14190,6593,2296,550,44
Estimates,1987,208884,200916,213430,245174,304637,331550,300342,245206,158866,140886,110753,96065,73480,56486,42360,27034,15216,7122,2528,625,54
Estimates,1988,214720,204344,207426,248627,300662,335144,313446,255849,178034,143400,113994,98168,77506,58134,43411,28882,16284,7594,2692,666,62
Estimates,1989,225105,207278,204244,253932,299024,341576,327307,269785,199606,143674,119840,101152,81996,59857,44652,30880,17229,7926,2830,696,68
Estimates,1990,235478,209748,205230,257255,300804,349341,341338,285898,223648,142614,127091,104718,86220,61660,45914,32555,18252,8084,2933,729,78
Estimates,1991,247032,211066,207992,257380,304762,355303,352380,302356,243161,147555,134879,106992,89401,63988,46993,33304,19498,8428,2988,746,90
Estimates,1992,257263,212662,211149,255186,311254,358673,360045,317714,255570,163022,140964,108428,91705,67180,48118,33670,20721,9214,3058,764,104
Estimates,1993,261884,219010,214350,252498,320536,360473,367117,331600,266930,182984,144182,111888,93946,70977,49482,34106,21738,10154,3140,782,117
Estimates,1994,262997,229138,216802,253362,330862,362490,374961,344706,280066,204482,144590,117924,97036,74996,50946,34716,22376,11162,3281,797,126
Estimates,1995,263378,239154,218704,260116,341685,368682,384396,358182,295085,228126,143684,125445,100712,78718,52727,35485,22715,12196,3500,806,130
Estimates,1996,262708,249823,219633,270436,353123,381128,395432,371508,312340,248113,149214,133686,103382,81618,55260,36264,22946,13189,3809,818,132
Estimates,1997,261168,259661,221250,281536,362833,397368,405406,383088,329704,261658,165307,140176,105298,83875,58620,37188,23204,14094,4222,832,134
