age_group,dwelling_type,year,residents
0-4 Years,HDB 1- And 2-Room Flats,2025,8267
0-4 Years,HDB 1- And 2-Room Flats,2024,8281
0-4 Years,HDB 1- And 2-Room Flats,2023,8301
0-4 Years,HDB 1- And 2-Room Flats,2022,8304
0-4 Years,HDB 1- And 2-Room Flats,2021,8089
0-4 Years,HDB 1- And 2-Room Flats,2020,7979
0-4 Years,HDB 1- And 2-Room Flats,2019,7828
0-4 Years,HDB 1- And 2-Room Flats,2018,7907
0-4 Years,HDB 1- And 2-Room Flats,2017,7965
0-4 Years,HDB 1- And 2-Room Flats,2016,7752
0-4 Years,HDB 1- And 2-Room Flats,2015,7603
0-4 Years,HDB 1- And 2-Room Flats,2014,7412
0-4 Years,HDB 1- And 2-Room Flats,2013,7219
0-4 Years,HDB 1- And 2-Room Flats,2012,6571
0-4 Years,HDB 1- And 2-Room Flats,2011,5878
0-4 Years,HDB 1- And 2-Room Flats,2010,5191
0-4 Years,HDB 1- And 2-Room Flats,2009,4615
0-4 Years,HDB 1- And 2-Room Flats,2008,4158
0-4 Years,HDB 1- And 2-Room Flats,2007,3698
0-4 Years,HDB 1- And 2-Room Flats,2006,3344
0-4 Years,HDB 1- And 2-Room Flats,2005,3263
0-4 Years,HDB 1- And 2-Room Flats,2004,3283
0-4 Years,HDB 1- And 2-Room Flats,2003,3280
0-4 Years,HDB 1- And 2-Room Flats,2002,3457
0-4 Years,HDB 1- And 2-Room Flats,2001,3874
0-4 Years,HDB 1- And 2-Room Flats,2000,4569
0-4 Years,HDB 3-Room Flats,2025,13882
0-4 Years,HDB 3-Room Flats,2024,14887
0-4 Years,HDB 3-Room Flats,2023,15738
0-4 Years,HDB 3-Room Flats,2022,16614
0-4 Years,HDB 3-Room Flats,2021,17317
0-4 Years,HDB 3-Room Flats,2020,18996
0-4 Years,HDB 3-Room Flats,2019,19909
0-4 Years,HDB 3-Room Flats,2018,20485
0-4 Years,HDB 3-Room Flats,2017,21322
0-4 Years,HDB 3-Room Flats,2016,22121
0-4 Years,HDB 3-Room Flats,2015,22114
0-4 Years,HDB 3-Room Flats,2014,22289
0-4 Years,HDB 3-Room Flats,2013,22558
0-4 Years,HDB 3-Room Flats,2012,23932
0-4 Years,HDB 3-Room Flats,2011,25342
0-4 Years,HDB 3-Room Flats,2010,26854
0-4 Years,HDB 3-Room Flats,2009,28277
0-4 Years,HDB 3-Room Flats,2008,27235
0-4 Years,HDB 3-Room Flats,2007,26796
0-4 Years,HDB 3-Room Flats,2006,27103
0-4 Years,HDB 3-Room Flats,2005,28417
0-4 Years,HDB 3-Room Flats,2004,30169
0-4 Years,HDB 3-Room Flats,2003,32526
0-4 Years,HDB 3-Room Flats,2002,34415
0-4 Years,HDB 3-Room Flats,2001,35589
0-4 Years,HDB 3-Room Flats,2000,36567
0-4 Years,HDB 4-Room Flats,2025,61554
0-4 Years,HDB 4-Room Flats,2024,63269
0-4 Years,HDB 4-Room Flats,2023,65552
0-4 Years,HDB 4-Room Flats,2022,66280
0-4 Years,HDB 4-Room Flats,2021,67441
0-4 Years,HDB 4-Room Flats,2020,70909
0-4 Years,HDB 4-Room Flats,2019,71963
0-4 Years,HDB 4-Room Flats,2018,71569
0-4 Years,HDB 4-Room Flats,2017,72324
0-4 Years,HDB 4-Room Flats,2016,71559
0-4 Years,HDB 4-Room Flats,2015,69042
0-4 Years,HDB 4-Room Flats,2014,66544
0-4 Years,HDB 4-Room Flats,2013,65697
0-4 Years,HDB 4-Room Flats,2012,65424
0-4 Years,HDB 4-Room Flats,2011,64479
0-4 Years,HDB 4-Room Flats,2010,66006
0-4 Years,HDB 4-Room Flats,2009,66935
0-4 Years,HDB 4-Room Flats,2008,64910
0-4 Years,HDB 4-Room Flats,2007,64835
0-4 Years,HDB 4-Room Flats,2006,66118
0-4 Years,HDB 4-Room Flats,2005,68900
0-4 Years,HDB 4-Room Flats,2004,72256
0-4 Years,HDB 4-Room Flats,2003,75227
0-4 Years,HDB 4-Room Flats,2002,78957
0-4 Years,HDB 4-Room Flats,2001,81435
0-4 Years,HDB 4-Room Flats,2000,83741
0-4 Years,HDB 5-Room And Executive Flats,2025,43892
0-4 Years,HDB 5-Room And Executive Flats,2024,45338
0-4 Years,HDB 5-Room And Executive Flats,2023,46171
0-4 Years,HDB 5-Room And Executive Flats,2022,46409
0-4 Years,HDB 5-Room And Executive Flats,2021,45655
0-4 Years,HDB 5-Room And Executive Flats,2020,46261
0-4 Years,HDB 5-Room And Executive Flats,2019,46495
0-4 Years,HDB 5-Room And Executive Flats,2018,47051
0-4 Years,HDB 5-Room And Executive Flats,2017,48905
0-4 Years,HDB 5-Room And Executive Flats,2016,50492
0-4 Years,HDB 5-Room And Executive Flats,2015,51520
0-4 Years,HDB 5-Room And Executive Flats,2014,53355
0-4 Years,HDB 5-Room And Executive Flats,2013,56342
0-4 Years,HDB 5-Room And Executive Flats,2012,59407
