age_group,ethnicity,sex,residents
Below 1,Chinese,Males,11176
Below 1,Chinese,Females,10804
Below 1,Malays,Males,4113
Below 1,Malays,Females,3904
Below 1,Indians,Males,1249
Below 1,Indians,Females,1168
Below 1,Others,Males,503
Below 1,Others,Females,517
1,Chinese,Males,11950
1,Chinese,Females,11626
1,Malays,Males,3960
1,Malays,Females,3890
1,Indians,Males,1490
1,Indians,Females,1468
1,Others,Males,580
1,Others,Females,621
2,Chinese,Males,12254
2,Chinese,Females,11821
2,Malays,Males,4106
2,Malays,Females,3818
2,Indians,Males,1597
2,Indians,Females,1531
2,Others,Males,625
2,Others,Females,635
3,Chinese,Males,13055
3,Chinese,Females,12551
3,Malays,Males,3890
3,Malays,Females,3637
3,Indians,Males,1754
3,Indians,Females,1612
3,Others,Males,628
3,Others,Females,696
4,Chinese,Males,13986
4,Chinese,Females,13256
4,Malays,Males,3779
4,Malays,Females,3571
4,Indians,Males,1984
4,Indians,Females,1789
4,Others,Males,709
4,Others,Females,773
5,Chinese,Males,14366
5,Chinese,Females,13646
5,Malays,Males,3518
5,Malays,Females,3386
5,Indians,Males,2050
5,Indians,Females,1972
5,Others,Males,745
5,Others,Females,781
6,Chinese,Males,13590
6,Chinese,Females,13034
6,Malays,Males,3465
6,Malays,Females,3267
6,Indians,Males,2136
6,Indians,Females,1950
6,Others,Males,752
6,Others,Females,808
7,Chinese,Males,14967
7,Chinese,Females,13865
7,Malays,Males,3252
7,Malays,Females,3040
7,Indians,Males,2170
7,Indians,Females,2037
7,Others,Males,764
7,Others,Females,871
8,Chinese,Males,14519
8,Chinese,Females,13588
8,Malays,Males,3132
8,Malays,Females,2993
8,Indians,Males,2171
8,Indians,Females,2278
8,Others,Males,698
8,Others,Females,851
9,Chinese,Males,13349
9,Chinese,Females,12571
9,Malays,Males,3105
9,Malays,Females,2912
9,Indians,Males,2300
9,Indians,Females,2361
9,Others,Males,680
9,Others,Females,797
10,Chinese,Males,13953
10,Chinese,Females,13431
10,Malays,Males,3151
10,Malays,Females,3025
10,Indians,Males,2556
10,Indians,Females,2504
10,Others,Males,718
10,Others,Females,816
11,Chinese,Males,14223
11,Chinese,Females,13462
11,Malays,Males,3285
11,Malays,Females,3112
11,Indians,Males,2597
11,Indians,Females,2550
11,Others,Males,888
11,Others,Females,1032
12,Chinese,Males,14720
12,Chinese,Females,14054
12,Malays,Males,3326
12,Malays,Females,3271
12,Indians,Males,2726
12,Indians,Females,2784
12,Others,Males,906
12,Others,Females,1030
13,Chinese,Males,14008
13,Chinese,Females,13366
13,Malays,Males,3459
13,Malays,Females,3127
13,Indians,Males,2705
13,Indians,Females,2687
13,Others,Males,921
13,Others,Females,1000
14,Chinese,Males,14024
14,Chinese,Females,13318
14,Malays,Males,3434
14,Malays,Females,3282
14,Indians,Males,2588
14,Indians,Females,2573
14,Others,Males,779
14,Others,Females,1002
15,Chinese,Males,13979
15,Chinese,Females,13423
15,Malays,Males,3432
15,Malays,Females,3237
15,Indians,Males,2379
15,Indians,Females,2498
15,Others,Males,877
15,Others,Females,950
16,Chinese,Males,13673
16,Chinese,Females,13002
16,Malays,Males,3504
16,Malays,Females,3434
16,Indians,Males,2485
16,Indians,Females,2473
16,Others,Males,888
16,Others,Females,908
17,Chinese,Males,14648
17,Chinese,Females,14030
17,Malays,Males,3729
17,Malays,Females,3545
17,Indians,Males,2389
17,Indians,Females,2369
17,Others,Males,795
17,Others,Females,907
18,Chinese,Males,14846
18,Chinese,Females,14127
18,Malays,Males,4117
18,Malays,Females,3736
18,Indians,Males,2430
18,Indians,Females,2325
18,Others,Males,813
18,Others,Females,838
19,Chinese,Males,17347
19,Chinese,Females,16499
19,Malays,Males,4353
19,Malays,Females,3931
19,Indians,Males,2371
19,Indians,Females,2253
19,Others,Males,813
19,Others,Females,881
20,Chinese,Males,16950
20,Chinese,Females,15929
20,Malays,Males,4298
20,Malays,Females,4143
20,Indians,Males,2326
20,Indians,Females,2227
20,Others,Males,798
20,Others,Females,821
21,Chinese,Males,16004
21,Chinese,Females,15151
21,Malays,Males,4511
21,Malays,Females,4000
21,Indians,Males,2239
21,Indians,Females,2250
21,Others,Males,765
21,Others,Females,820
22,Chinese,Males,17480
22,Chinese,Females,16804
22,Malays,Males,4494
22,Malays,Females,4376
22,Indians,Males,2215
22,Indians,Females,2266
22,Others,Males,720
22,Others,Females,747
23,Chinese,Males,18098
23,Chinese,Females,17424
23,Malays,Males,4598
23,Malays,Females,4277
23,Indians,Males,2199
23,Indians,Females,2213
23,Others,Males,675
23,Others,Females,726
24,Chinese,Males,18777
24,Chinese,Females,18436
24,Malays,Males,4686
24,Malays,Females,4430
24,Indians,Males,2191
24,Indians,Females,2190
24,Others,Males,593
24,Others,Females,690
25,Chinese,Males,19464
25,Chinese,Females,19107
25,Malays,Males,4773
25,Malays,Females,4515
25,Indians,Males,2232
25,Indians,Females,2241
25,Others,Males,572
25,Others,Females,622
26,Chinese,Males,20158
26,Chinese,Females,20396
26,Malays,Males,5081
26,Malays,Females,4722
26,Indians,Males,2306
26,Indians,Females,2359
26,Others,Males,489
26,Others,Females,658
27,Chinese,Males,20646
27,Chinese,Females,20750
27,Malays,Males,5037
27,Malays,Females,4750
27,Indians,Males,2362
27,Indians,Females,2346
27,Others,Males,501
27,Others,Females,743
28,Chinese,Males,20650
28,Chinese,Females,21687
28,Malays,Males,4921
28,Malays,Females,4894
28,Indians,Males,2274
28,Indians,Females,2461
28,Others,Males,448
28,Others,Females,839
29,Chinese,Males,22451
29,Chinese,Females,23442
29,Malays,Males,5185
29,Malays,Females,4790
29,Indians,Males,2357
29,Indians,Females,2409
29,Others,Males,475
29,Others,Females,884
30,Chinese,Males,21649
30,Chinese,Females,22656
30,Malays,Males,4969
30,Malays,Females,4911
30,Indians,Males,2311
30,Indians,Females,2409
30,Others,Males,457
30,Others,Females,976
31,Chinese,Males,24294
31,Chinese,Females,26204
31,Malays,Males,4800
31,Malays,Females,4590
31,Indians,Males,2326
31,Indians,Females,2361
31,Others,Males,491
31,Others,Females,1110
32,Chinese,Males,22114
32,Chinese,Females,23693
32,Malays,Males,4577
32,Malays,Females,4391
32,Indians,Males,2324
32,Indians,Females,2567
32,Others,Males,491
32,Others,Females,1170
33,Chinese,Males,18707
33,Chinese,Females,20660
33,Malays,Males,4028
33,Malays,Females,4093
33,Indians,Males,2244
33,Indians,Females,2414
33,Others,Males,491
33,Others,Females,1213
34,Chinese,Males,19721
34,Chinese,Females,21437
34,Malays,Males,4195
34,Malays,Females,4060
34,Indians,Males,2281
34,Indians,Females,2583
34,Others,Males,552
34,Others,Females,1278
35,Chinese,Males,20641
35,Chinese,Females,22613
35,Malays,Males,4003
35,Malays,Females,4052
35,Indians,Males,2400
35,Indians,Females,2963
35,Others,Males,605
35,Others,Females,1425
36,Chinese,Males,19771
36,Chinese,Females,21980
36,Malays,Males,3821
36,Malays,Females,3778
36,Indians,Males,2536
36,Indians,Females,2961
36,Others,Males,734
36,Others,Females,1538
37,Chinese,Males,21266
37,Chinese,Females,23457
37,Malays,Males,3903
37,Malays,Females,3909
37,Indians,Males,2844
37,Indians,Females,3279
37,Others,Males,788
37,Others,Females,1673
38,Chinese,Males,21482
38,Chinese,Females,23633
38,Malays,Males,3606
38,Malays,Females,3589
38,Indians,Males,3145
38,Indians,Females,3372
38,Others,Males,989
38,Others,Females,1678
39,Chinese,Males,20900
39,Chinese,Females,23370
39,Malays,Males,3475
39,Malays,Females,3583
39,Indians,Males,3373
39,Indians,Females,3558
39,Others,Males,1075
39,Others,Females,1747
40,Chinese,Males,20837
40,Chinese,Females,23035
40,Malays,Males,3094
40,Malays,Females,3213
40,Indians,Males,3515
40,Indians,Females,3545
40,Others,Males,1161
40,Others,Females,1680
41,Chinese,Males,20949
41,Chinese,Females,23461
41,Malays,Males,2777
41,Malays,Females,3144
41,Indians,Males,3611
41,Indians,Females,3334
41,Others,Males,1216
