DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Residents,4204515,4180868,4149253,4073239,3986842,4044210,4026209,3994283,3965796,3933559,3902690,3870739,3844751,3818205,3789251,3771721,3733876,3642659,3583082,3525894,3467814,3413266,3366891,3382944,3325902,3273363
    Total HDB Dwellings,3189020,3188455,3181682,3134682,3090959,3152410,3154524,3149249,3156575,3162636,3162357,3154691,3147634,3136924,3120823,3111083,3090463,3017728,2962077,2921412,2887618,2860404,2835299,2847905,2812379,2787664
        HDB 1- And 2-Room Flats,200750,195733,190208,183856,179559,177358,173771,170955,168052,163847,159792,151720,143445,132214,122473,112433,106133,101302,97512,93676,91379,90422,89022,94380,97387,105825
        HDB 3-Room Flats,550052,555965,561310,559250,557100,575200,580233,584821,590806,599416,604579,609833,612096,621569,629207,632538,632943,617559,609024,605224,608511,618003,633407,655820,677179,710485
        HDB 4-Room Flats,1358575,1358398,1354585,1332241,1312346,1338374,1337743,1331440,1330160,1325542,1320285,1311754,1303959,1294678,1283524,1279865,1272084,1243034,1221318,1208149,1194271,1183552,1172937,1175794,1148715,1127389
        HDB 5-Room And Executive Flats,1079643,1078359,1075579,1059335,1041954,1061478,1062777,1062033,1067557,1070978,1074735,1077664,1081223,1080226,1077235,1076353,1069368,1046011,1022687,1002746,981865,956836,927187,906031,868694,821882
    Condominiums & Other Apartments,730889,706518,679753,655521,620246,607937,587860,562228,525584,484544,452998,425994,407454,393721,383257,373852,357532,344689,348155,335199,312134,288546,268063,259451,235248,207005
    Landed Properties,246157,248436,250840,247337,240841,248860,249077,248240,249408,250745,251082,252814,251347,249548,247556,248189,246126,242625,240877,238516,237295,235369,233863,242331,243108,241684
    Other Types Of Dwelling,38449,37459,36978,35699,34796,35003,34748,34566,34229,35634,36253,37240,38316,38012,37615,38597,39755,37617,31973,30767,30767,28947,29666,33257,35167,37010
0-4 Years,165550,170496,175268,178085,178435,183076,185355,185528,187653,187160,183575,181369,183295,186673,188249,194432,197788,193889,193626,194479,199529,204819,209903,217798,222991,225705
    Total HDB Dwellings,127595,131775,135762,137607,138502,144145,146195,147012,150516,152004,150367,149709,152005,155549,157545,163155,166987,163479,162664,164278,170163,176480,182327,189346,194458,198145
        HDB 1- And 2-Room Flats,8267,8281,8301,8304,8089,7979,7828,7907,7965,7752,7603,7412,7219,6571,5878,5191,4615,4158,3698,3344,3263,3283,3280,3457,3874,4569
        HDB 3-Room Flats,13882,14887,15738,16614,17317,18996,19909,20485,21322,22121,22114,22289,22558,23932,25342,26854,28277,27235,26796,27103,28417,30169,32526,34415,35589,36567
        HDB 4-Room Flats,61554,63269,65552,66280,67441,70909,71963,71569,72324,71559,69042,66544,65697,65424,64479,66006,66935,64910,64835,66118,68900,72256,75227,78957,81435,83741
        HDB 5-Room And Executive Flats,43892,45338,46171,46409,45655,46261,46495,47051,48905,50492,51520,53355,56342,59407,61618,64854,66919,66951,67059,67424,69260,70432,70884,71939,72721,72228
    Condominiums & Other Apartments,30412,30775,31030,31866,31528,30611,30803,29965,28214,25800,23679,22001,21407,21235,21015,21285,20791,20642,21548,21161,20002,18793,17642,17381,16243,14509
    Landed Properties,7074,7446,7922,8091,7890,7779,7777,7851,8163,8533,8659,8825,8977,8929,8803,8934,8764,8595,8313,8049,8380,8572,8908,9815,10757,11452
    Other Types Of Dwelling,469,500,554,521,515,541,580,700,760,823,870,834,906,960,886,1058,1246,1173,1101,991,984,974,1026,1256,1533,1599
5-9 Years,199813,202082,201974,201360,198760,198737,197775,199066,200575,201509,204452,205790,205704,206324,208119,215675,221435,223622,229541,235204,237237,240517,247044,253192,254077,256574
    Total HDB Dwellings,140993,143102,143817,143769,143469,145497,146167,149151,153419,156968,161556,164076,164968,166489,168973,175721,181898,184061,188021,193559,196380,200233,206264,211300,213838,218817
        HDB 1- And 2-Room Flats,7885,7770,7739,7625,7378,7197,7182,7464,7796,7903,8094,7872,7293,6389,5537,4735,4104,3710,3393,3059,2906,2999,3013,3316,4318,5819
        HDB 3-Room Flats,15422,16442,17328,17841,18585,19798,20492,21381,22382,23365,24386,25109,25516,26269,26714,27565,28370,28154,28171,28750,28795,29574,30783,32213,36031,44318
